timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736371363906,1068,get_characters,200,OK,Thread Group 1-9,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1065,0,31
1736371363905,1070,get_characters,200,OK,Thread Group 1-3,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1070,0,31
1736371363905,1072,get_characters,200,OK,Thread Group 1-6,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1072,0,31
1736371363905,1081,get_characters,200,OK,Thread Group 1-4,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1081,0,31
1736371363905,1082,get_characters,200,OK,Thread Group 1-1,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1082,0,31
1736371363905,1083,get_characters,200,OK,Thread Group 1-7,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1083,0,31
1736371363906,1088,get_characters,200,OK,Thread Group 1-8,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1088,0,31
1736371363911,1083,get_characters,200,OK,Thread Group 1-10,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1083,0,26
1736371363905,1089,get_characters,200,OK,Thread Group 1-2,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1089,0,31
1736371363905,1092,get_characters,200,OK,Thread Group 1-5,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1092,0,31
1736371363930,1074,get_characters,200,OK,Thread Group 1-12,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1074,0,18
1736371363920,1084,get_characters,200,OK,Thread Group 1-11,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1084,0,28
1736371364976,31,get_character/id,200,OK,Thread Group 1-9,text,true,,265,163,100,100,http://10.0.107.201:3001/character/29,31,0,0
1736371364978,30,get_character/id,200,OK,Thread Group 1-6,text,true,,265,162,100,100,http://10.0.107.201:3001/character/1,30,0,0
1736371364976,34,get_character/id,200,OK,Thread Group 1-3,text,true,,265,163,100,100,http://10.0.107.201:3001/character/62,34,0,0
1736371363939,1073,get_characters,200,OK,Thread Group 1-13,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1073,0,1048
1736371363960,1052,get_characters,200,OK,Thread Group 1-15,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1052,0,1027
1736371363990,1023,get_characters,200,OK,Thread Group 1-18,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1023,0,997
1736371363950,1067,get_characters,200,OK,Thread Group 1-14,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1067,0,1037
1736371364010,1008,get_characters,200,OK,Thread Group 1-20,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1008,0,977
1736371363970,1052,get_characters,200,OK,Thread Group 1-16,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1052,0,1017
1736371363979,1043,get_characters,200,OK,Thread Group 1-17,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1043,0,1008
1736371364020,1004,get_characters,200,OK,Thread Group 1-21,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1004,0,967
1736371364000,1024,get_characters,200,OK,Thread Group 1-19,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,1024,0,987
1736371364031,993,get_characters,200,OK,Thread Group 1-22,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,993,0,956
1736371364039,991,get_characters,200,OK,Thread Group 1-23,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,991,0,948
1736371364050,980,get_characters,200,OK,Thread Group 1-24,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,980,0,937
1736371364988,42,get_character/id,200,OK,Thread Group 1-4,text,true,,265,163,100,100,http://10.0.107.201:3001/character/33,42,0,0
1736371364059,971,get_characters,200,OK,Thread Group 1-25,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,971,0,928
1736371364070,960,get_characters,200,OK,Thread Group 1-26,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,960,0,917
1736371364090,943,get_characters,200,OK,Thread Group 1-28,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,943,0,897
1736371364079,958,get_characters,200,OK,Thread Group 1-27,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,958,0,908
1736371364110,930,get_characters,200,OK,Thread Group 1-30,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,930,0,877
1736371364100,940,get_characters,200,OK,Thread Group 1-29,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,940,0,887
1736371364119,925,get_characters,200,OK,Thread Group 1-31,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,925,0,868
1736371364130,914,get_characters,200,OK,Thread Group 1-32,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,914,0,857
1736371364140,904,get_characters,200,OK,Thread Group 1-33,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,904,0,847
1736371364989,55,get_character/id,200,OK,Thread Group 1-1,text,true,,192,163,100,100,http://10.0.107.201:3001/character/84,55,0,0
1736371364161,885,get_characters,200,OK,Thread Group 1-35,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,885,0,827
1736371364170,889,get_characters,200,OK,Thread Group 1-36,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,888,0,818
1736371364179,880,get_characters,200,OK,Thread Group 1-37,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,880,0,809
1736371364199,860,get_characters,200,OK,Thread Group 1-39,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,860,0,789
1736371364150,909,get_characters,200,OK,Thread Group 1-34,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,909,0,838
1736371364230,838,get_characters,200,OK,Thread Group 1-42,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,838,0,758
1736371364189,879,get_characters,200,OK,Thread Group 1-38,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,879,0,799
1736371364211,857,get_characters,200,OK,Thread Group 1-40,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,857,0,777
1736371364990,93,get_character/id,200,OK,Thread Group 1-7,text,true,,265,163,100,100,http://10.0.107.201:3001/character/59,93,0,0
1736371364239,844,get_characters,200,OK,Thread Group 1-43,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,844,0,749
1736371364220,863,get_characters,200,OK,Thread Group 1-41,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,863,0,768
1736371364998,85,get_character/id,200,OK,Thread Group 1-5,text,true,,192,163,100,100,http://10.0.107.201:3001/character/83,85,0,0
1736371364994,89,get_character/id,200,OK,Thread Group 1-8,text,true,,265,162,100,100,http://10.0.107.201:3001/character/6,89,0,0
1736371364994,89,get_character/id,200,OK,Thread Group 1-10,text,true,,265,163,100,100,http://10.0.107.201:3001/character/38,89,0,0
1736371364995,88,get_character/id,200,OK,Thread Group 1-2,text,true,,265,163,100,100,http://10.0.107.201:3001/character/56,88,0,0
1736371364248,836,get_characters,200,OK,Thread Group 1-44,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,836,0,740
1736371364261,823,get_characters,200,OK,Thread Group 1-45,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,823,0,728
1736371364299,785,get_characters,200,OK,Thread Group 1-49,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,785,0,700
1736371364329,755,get_characters,200,OK,Thread Group 1-52,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,755,0,670
1736371364308,781,get_characters,200,OK,Thread Group 1-50,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,781,0,691
1736371364278,811,get_characters,200,OK,Thread Group 1-47,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,811,0,721
1736371364359,730,get_characters,200,OK,Thread Group 1-55,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,730,0,640
1736371364390,701,get_characters,200,OK,Thread Group 1-58,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,701,0,610
1736371364380,711,get_characters,200,OK,Thread Group 1-57,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,711,0,620
1736371364421,670,get_characters,200,OK,Thread Group 1-61,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,670,0,579
1736371364429,663,get_characters,200,OK,Thread Group 1-62,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,663,0,571
1736371364449,644,get_characters,200,OK,Thread Group 1-64,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,644,0,551
1736371364479,619,get_characters,200,OK,Thread Group 1-67,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,619,0,521
1736371364498,600,get_characters,200,OK,Thread Group 1-69,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,600,0,502
1736371364508,590,get_characters,200,OK,Thread Group 1-70,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,590,0,492
1736371364530,568,get_characters,200,OK,Thread Group 1-72,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,568,0,470
1736371364570,529,get_characters,200,OK,Thread Group 1-76,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,529,0,430
1736371364560,540,get_characters,200,OK,Thread Group 1-75,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,540,0,440
1736371364628,472,get_characters,200,OK,Thread Group 1-82,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,472,0,374
1736371364600,500,get_characters,200,OK,Thread Group 1-79,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,500,0,402
1736371364650,461,get_characters,200,OK,Thread Group 1-84,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,461,0,352
1736371364619,495,get_characters,200,OK,Thread Group 1-81,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,495,0,383
1736371364269,845,get_characters,200,OK,Thread Group 1-46,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,845,0,734
1736371364679,435,get_characters,200,OK,Thread Group 1-87,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,435,0,323
1736371364319,795,get_characters,200,OK,Thread Group 1-51,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,795,0,684
1736371365004,112,get_character/id,200,OK,Thread Group 1-11,text,true,,265,163,100,100,http://10.0.107.201:3001/character/39,112,0,0
1736371365004,112,get_character/id,200,OK,Thread Group 1-12,text,true,,265,162,100,100,http://10.0.107.201:3001/character/6,112,0,0
1736371365008,108,post_character,200,OK,Thread Group 1-6,text,true,,265,223,100,100,http://10.0.107.201:3001/character,108,0,0
1736371364288,828,get_characters,200,OK,Thread Group 1-48,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,828,0,715
1736371365007,109,post_character,200,OK,Thread Group 1-9,text,true,,265,223,100,100,http://10.0.107.201:3001/character,109,0,0
1736371364338,778,get_characters,200,OK,Thread Group 1-53,text,true,,2627,161,100,100,http://10.0.107.201:3001/characters,778,0,665
1736371365012,109,get_character/id,200,OK,Thread Group 1-13,text,true,,265,163,100,100,http://10.0.107.201:3001/character/34,109,0,0
1736371365018,103,get_character/id,200,OK,Thread Group 1-20,text,true,,265,163,100,100,http://10.0.107.201:3001/character/21,103,0,0
1736371364348,773,get_characters,200,OK,Thread Group 1-54,text,true,,2689,161,100,100,http://10.0.107.201:3001/characters,773,0,655
1736371365013,108,get_character/id,200,OK,Thread Group 1-18,text,true,,265,163,100,100,http://10.0.107.201:3001/character/29,108,0,0
1736371365022,99,get_character/id,200,OK,Thread Group 1-16,text,true,,266,163,100,100,http://10.0.107.201:3001/character/40,99,0,0
1736371365010,111,post_character,200,OK,Thread Group 1-3,text,true,,265,223,100,100,http://10.0.107.201:3001/character,111,0,0
1736371365013,108,get_character/id,200,OK,Thread Group 1-15,text,true,,265,163,100,100,http://10.0.107.201:3001/character/28,108,0,0
1736371365018,103,get_character/id,200,OK,Thread Group 1-14,text,true,,265,163,100,100,http://10.0.107.201:3001/character/17,103,0,0
1736371365024,98,get_character/id,200,OK,Thread Group 1-21,text,true,,265,163,100,100,http://10.0.107.201:3001/character/39,98,0,0
1736371365030,92,get_character/id,200,OK,Thread Group 1-23,text,true,,265,163,100,100,http://10.0.107.201:3001/character/25,92,0,0
1736371365022,100,get_character/id,200,OK,Thread Group 1-17,text,true,,192,163,100,100,http://10.0.107.201:3001/character/92,100,0,0
1736371365030,92,get_character/id,200,OK,Thread Group 1-24,text,true,,265,163,100,100,http://10.0.107.201:3001/character/80,92,0,0
1736371365030,92,get_character/id,200,OK,Thread Group 1-25,text,true,,192,163,100,100,http://10.0.107.201:3001/character/87,92,0,0
1736371365024,98,get_character/id,200,OK,Thread Group 1-22,text,true,,265,163,100,100,http://10.0.107.201:3001/character/25,98,0,0
1736371365030,92,post_character,200,OK,Thread Group 1-4,text,true,,264,222,100,100,http://10.0.107.201:3001/character,92,0,0
1736371365033,89,get_character/id,200,OK,Thread Group 1-28,text,true,,265,163,100,100,http://10.0.107.201:3001/character/28,89,0,0
1736371365024,98,get_character/id,200,OK,Thread Group 1-19,text,true,,192,163,100,100,http://10.0.107.201:3001/character/85,98,0,0
